#street,housenr,city,long,lat,elevation
Gneisenaustrasse,1,Berlin,13.38784,52.49235,41.28634
Gneisenaustrasse,2,Berlin,13.388307,52.492516,41.0
Gneisenaustrasse,3,Berlin,13.38851,52.49243,41.0
Gneisenaustrasse,4,Berlin,13.388709,52.49244,41.0
Gneisenaustrasse,5,Berlin,13.38882,52.49222,41.0
Gneisenaustrasse,6,Berlin,13.389243,52.492348,40.479008
Gneisenaustrasse,7,Berlin,13.390553,52.491993,41.38937
Gneisenaustrasse,8,Berlin,13.390144,52.492165,40.280144
Gneisenaustrasse,9,Berlin,13.39039,52.49199,41.165092
Gneisenaustrasse,10,Berlin,13.39111,52.49185,42.202633
Gneisenaustrasse,11,Berlin,13.39128,52.49181,42.260887
Gneisenaustrasse,12,Berlin,13.391707,52.492012,42.023186
Gneisenaustrasse,13,Berlin,13.39163,52.49165,42.493904
Gneisenaustrasse,14,Berlin,13.39196,52.49173,42.660896
Gneisenaustrasse,15,Berlin,13.392094,52.491776,42.758984
Gneisenaustrasse,16,Berlin,13.39225,52.49168,42.932755
Gneisenaustrasse,17,Berlin,13.3929,52.49156,43.82432
Gneisenaustrasse,18,Berlin,13.393138,52.49156,43.893173
Gneisenaustrasse,19,Berlin,13.39328,52.49114,43.47501
Gneisenaustrasse,20,Berlin,13.39354,52.49136,43.306965
Gneisenaustrasse,21,Berlin,13.393797,52.491447,43.07979
Gneisenaustrasse,22,Berlin,13.394187,52.491337,42.35161
Gneisenaustrasse,23,Berlin,13.394724,52.491238,41.470516
Gneisenaustrasse,24,Berlin,13.39493,52.49117,41.176968
Gneisenaustrasse,25,Berlin,13.39505,52.49112,41.032684
Gneisenaustrasse,26,Berlin,13.395413,52.49112,41.0
Gneisenaustrasse,27,Berlin,13.395511,52.4911,41.0
Gneisenaustrasse,28,Berlin,13.39576,52.49097,41.0
Gneisenaustrasse,29,Berlin,13.3961,52.49087,41.17939
Gneisenaustrasse,30,Berlin,13.396116,52.49097,41.261993
Gneisenaustrasse,31,Berlin,13.39661,52.49076,40.802883
Gneisenaustrasse,32,Berlin,13.39677,52.49079,40.449577
Gneisenaustrasse,33,Berlin,13.397058,52.49079,39.7171
Gneisenaustrasse,34,Berlin,13.397205,52.490765,39.32011
Gneisenaustrasse,35,Berlin,13.39749,52.49062,38.50003
Gneisenaustrasse,36,Berlin,13.39802,52.49056,37.519608
Gneisenaustrasse,37,Berlin,13.398718,52.490547,36.10026
Gneisenaustrasse,38,Berlin,13.399354,52.490417,36.35435
Gneisenaustrasse,39,Berlin,13.39999,52.49029,37.24885
Gneisenaustrasse,40,Berlin,13.400359,52.49016,38.702297
