#street,housenr,city,long,lat,elevation
Grossbeerenstraße,1,Berlin,13.3817,52.4394,49.0
Grossbeerenstraße,2,Berlin,13.38037,52.44012,49.539906
Grossbeerenstraße,3,Berlin,13.32177,52.41713,45.02152
Grossbeerenstraße,4,Berlin,13.38023,52.4394,49.41152
Grossbeerenstraße,5,Berlin,13.38146,52.43864,49.0
Grossbeerenstraße,6,Berlin,13.38037,52.44012,49.539906
Grossbeerenstraße,7,Berlin,13.38127,52.43852,48.9016
Grossbeerenstraße,8,Berlin,13.38037,52.44012,49.539906
Grossbeerenstraße,9,Berlin,13.38096,52.43815,48.666298
Grossbeerenstraße,10,Berlin,13.38037,52.44012,49.539906
Grossbeerenstraße,11,Berlin,13.380873,52.43801,48.73235
Grossbeerenstraße,12,Berlin,13.380587,52.437992,48.57015
Grossbeerenstraße,13,Berlin,13.380753,52.43788,48.828648
Grossbeerenstraße,14,Berlin,13.37954,52.43743,48.800682
Grossbeerenstraße,15,Berlin,13.38073,52.43768,49.0
Grossbeerenstraße,16,Berlin,13.37944,52.43741,48.886147
Grossbeerenstraße,17,Berlin,13.38065,52.4375,48.989666
Grossbeerenstraße,18,Berlin,13.379841,52.4374,48.598072
Grossbeerenstraße,19,Berlin,13.38091,52.43747,49.0
Grossbeerenstraße,20,Berlin,13.379781,52.43739,48.652122
Grossbeerenstraße,21,Berlin,13.380218,52.437267,48.803146
Grossbeerenstraße,22,Berlin,13.38387,52.49528,42.119335
Grossbeerenstraße,23,Berlin,13.38041,52.437,49.083733
Grossbeerenstraße,24,Berlin,13.379787,52.43699,49.12512
Grossbeerenstraße,25,Berlin,13.380105,52.437042,49.022568
Grossbeerenstraße,26,Berlin,13.379477,52.43691,49.370396
Grossbeerenstraße,27,Berlin,13.379891,52.4367,49.58385
Grossbeerenstraße,28,Berlin,13.37937,52.436752,49.836506
Grossbeerenstraße,29,Berlin,13.379754,52.43653,50.014767
Grossbeerenstraße,30,Berlin,13.379207,52.43658,50.426613
Grossbeerenstraße,31,Berlin,13.37963,52.43628,50.56747
Grossbeerenstraße,32,Berlin,13.379246,52.4364,50.91767
Grossbeerenstraße,33,Berlin,13.379411,52.436153,50.877422
Grossbeerenstraße,34,Berlin,13.37886,52.4362,51.0
Grossbeerenstraße,35,Berlin,13.379262,52.435955,51.0
Grossbeerenstraße,36,Berlin,13.37886,52.4362,51.0
Grossbeerenstraße,37,Berlin,13.37916,52.435814,51.0
Grossbeerenstraße,38,Berlin,13.37886,52.4362,51.0
Grossbeerenstraße,39,Berlin,13.37906,52.4357,51.0
Grossbeerenstraße,40,Berlin,13.37886,52.4362,51.0
Grossbeerenstraße,41,Berlin,13.37906,52.4357,51.0
Grossbeerenstraße,42,Berlin,13.382558,52.49024,41.107914
Grossbeerenstraße,43,Berlin,13.37859,52.4354,50.172195
Grossbeerenstraße,44,Berlin,13.382718,52.490494,41.814728
Grossbeerenstraße,45,Berlin,13.3788,52.43527,49.793545
Grossbeerenstraße,46,Berlin,13.37769,52.43511,49.600834
Grossbeerenstraße,47,Berlin,13.378689,52.435104,49.31003
Grossbeerenstraße,48,Berlin,13.3785,52.43519,49.560528
Grossbeerenstraße,49,Berlin,13.378601,52.43494,48.83236
Grossbeerenstraße,50,Berlin,13.37769,52.43511,49.600834
Grossbeerenstraße,51,Berlin,13.378469,52.434593,47.934963
Grossbeerenstraße,52,Berlin,13.37829,52.4349,48.78021
Grossbeerenstraße,53,Berlin,13.37839,52.43447,47.699554
Grossbeerenstraße,54,Berlin,13.37766,52.43415,47.678818
Grossbeerenstraße,55,Berlin,13.37836,52.43438,47.516994
