#street,housenr,city,long,lat,elevation
Hasenheide,1,Berlin,13.417196,52.48327,53.937237
Hasenheide,2,Berlin,13.42377,52.48689,41.977398
Hasenheide,3,Berlin,13.423622,52.48665,42.64861
Hasenheide,4,Berlin,13.4236555,52.486637,42.668243
Hasenheide,5,Berlin,13.42376,52.48672,42.423344
Hasenheide,6,Berlin,13.42279,52.48689,41.13573
Hasenheide,7,Berlin,13.422613,52.487087,40.33328
Hasenheide,8,Berlin,13.4225,52.48767,40.690197
Hasenheide,9,Berlin,13.422096,52.48789,41.040592
Hasenheide,10,Berlin,13.421956,52.487293,39.439163
Hasenheide,11,Berlin,13.42182,52.48757,40.120907
Hasenheide,12,Berlin,13.42154,52.487415,39.827335
Hasenheide,13,Berlin,13.42133,52.48764,40.075916
Hasenheide,14,Berlin,13.42098,52.4876,40.110275
Hasenheide,15,Berlin,13.42078,52.48788,40.022324
Hasenheide,16,Berlin,13.4205,52.48786,40.01322
Hasenheide,17,Berlin,13.42023,52.48812,40.46588
Hasenheide,18,Berlin,13.419573,52.48777,41.04775
Hasenheide,19,Berlin,13.419573,52.48777,41.04775
Hasenheide,20,Berlin,13.41893,52.48801,40.795036
Hasenheide,21,Berlin,13.4137945,52.488316,40.349392
Hasenheide,22,Berlin,13.4188,52.4877,41.358932
Hasenheide,23,Berlin,13.41742,52.48824,40.92015
Hasenheide,24,Berlin,13.41828,52.48804,40.911663
Hasenheide,25,Berlin,13.41799,52.4878,41.773335
Hasenheide,26,Berlin,13.41799,52.4878,41.773335
Hasenheide,27,Berlin,13.41761,52.48822,40.978405
Hasenheide,28,Berlin,13.4173,52.4879,41.910473
Hasenheide,29,Berlin,13.41742,52.48824,40.92015
Hasenheide,30,Berlin,13.41679,52.48799,41.648327
Hasenheide,31,Berlin,13.41742,52.48824,40.92015
Hasenheide,32,Berlin,13.416223,52.48801,41.590073
Hasenheide,33,Berlin,13.41591,52.48878,39.89065
Hasenheide,34,Berlin,13.41586,52.4886,39.983162
Hasenheide,35,Berlin,13.41572,52.4885,40.162846
Hasenheide,36,Berlin,13.4155,52.4885,40.14151
Hasenheide,37,Berlin,13.41525,52.48853,40.051838
Hasenheide,38,Berlin,13.41494,52.48857,40.022114
Hasenheide,39,Berlin,13.4139,52.4883,40.372692
Hasenheide,40,Berlin,13.41235,52.48882,40.384613
Hasenheide,44,Berlin,13.41349,52.4884,40.22706
Hasenheide,45,Berlin,13.41197,52.48895,40.514347
Hasenheide,46,Berlin,13.41197,52.48895,40.514347
Hasenheide,47,Berlin,13.41165,52.48926,40.0835
Hasenheide,48,Berlin,13.41145,52.48855,41.168888
Hasenheide,49,Berlin,13.41116,52.48961,40.09499
Hasenheide,50,Berlin,13.41096,52.48964,40.590153
Hasenheide,51,Berlin,13.41054,52.48938,42.085228
Hasenheide,52,Berlin,13.41038,52.48941,42.23086
Hasenheide,53,Berlin,13.41004,52.48927,42.7234
Hasenheide,54,Berlin,13.409935,52.48894,42.633335
Hasenheide,55,Berlin,13.40953,52.48916,42.043514
Hasenheide,56,Berlin,13.40975,52.48955,42.03803
Hasenheide,57,Berlin,13.40921,52.48921,42.0
Hasenheide,58,Berlin,13.408805,52.48905,41.987656
Hasenheide,59,Berlin,13.40819,52.48921,41.091995
Hasenheide,61,Berlin,13.40815,52.48866,41.03374
Hasenheide,62,Berlin,13.408466,52.488796,41.49395
Hasenheide,63,Berlin,13.408796,52.48867,41.97455
Hasenheide,64,Berlin,13.40885,52.48855,42.009064
Hasenheide,65,Berlin,13.40917,52.48838,42.389202
Hasenheide,66,Berlin,13.40949,52.48833,42.653156
Hasenheide,67,Berlin,13.4098,52.48831,42.996582
Hasenheide,68,Berlin,13.41016,52.48826,43.408764
Hasenheide,69,Berlin,13.410405,52.48855,42.69078
Hasenheide,70,Berlin,13.41068,52.48825,42.72719
Hasenheide,71,Berlin,13.411019,52.488354,42.082024
Hasenheide,72,Berlin,13.411433,52.48838,41.441227
Hasenheide,73,Berlin,13.41172,52.48817,41.46
Hasenheide,74,Berlin,13.41266,52.48797,41.19298
Hasenheide,81,Berlin,13.41417,52.48798,40.838726
Hasenheide,82,Berlin,13.415229,52.48665,45.81764
Hasenheide,87,Berlin,13.41557,52.48775,42.215084
Hasenheide,88,Berlin,13.41576,52.48774,42.398457
Hasenheide,89,Berlin,13.416169,52.487694,42.69229
Hasenheide,90,Berlin,13.416553,52.487732,42.545437
Hasenheide,91,Berlin,13.41666,52.48745,43.57086
Hasenheide,92,Berlin,13.417044,52.487587,42.82767
Hasenheide,93,Berlin,13.41742,52.48741,42.980427
Hasenheide,94,Berlin,13.4175,52.48741,42.9025
Hasenheide,95,Berlin,13.41798,52.48743,42.51373
Hasenheide,100,Berlin,0.0,0.0,-1000.0
