#street,housenr,city,long,lat,elevation
Katzbachstrasse,1,Berlin,13.376565,52.491386,39.54827
Katzbachstrasse,2,Berlin,13.376555,52.491013,42.119682
Katzbachstrasse,3,Berlin,13.37595,52.49069,41.20234
Katzbachstrasse,4,Berlin,13.376574,52.490704,44.364216
Katzbachstrasse,5,Berlin,13.37609,52.49046,42.598896
Katzbachstrasse,6,Berlin,13.37641,52.49028,44.725178
Katzbachstrasse,7,Berlin,13.376563,52.490147,45.661064
Katzbachstrasse,8,Berlin,13.37628,52.48999,44.390217
Katzbachstrasse,9,Berlin,13.376549,52.489773,46.21603
Katzbachstrasse,10,Berlin,13.376549,52.489174,47.18823
Katzbachstrasse,11,Berlin,13.376398,52.488995,47.58775
Katzbachstrasse,12,Berlin,13.376531,52.488895,48.00503
Katzbachstrasse,13,Berlin,13.376477,52.48857,48.95704
Katzbachstrasse,14,Berlin,13.376503,52.48843,49.37692
Katzbachstrasse,15,Berlin,13.376411,52.48828,49.879795
Katzbachstrasse,16,Berlin,13.376511,52.488106,50.33921
Katzbachstrasse,17,Berlin,13.37617,52.48736,51.54051
Katzbachstrasse,18,Berlin,13.37648,52.487263,51.08904
Katzbachstrasse,19,Berlin,13.37647,52.48709,50.954742
Katzbachstrasse,20,Berlin,13.376463,52.48687,50.606705
Katzbachstrasse,21,Berlin,13.37621,52.48681,50.67789
Katzbachstrasse,22,Berlin,13.376461,52.48657,50.120396
Katzbachstrasse,23,Berlin,13.3762,52.48647,50.07565
Katzbachstrasse,24,Berlin,13.376459,52.486217,50.812565
Katzbachstrasse,25,Berlin,13.37606,52.48608,51.211605
Katzbachstrasse,26,Berlin,13.376445,52.485962,51.555305
Katzbachstrasse,27,Berlin,13.376434,52.485664,52.211647
Katzbachstrasse,28,Berlin,13.37639,52.48533,52.69807
Katzbachstrasse,29,Berlin,13.376934,52.489864,45.522804
Katzbachstrasse,30,Berlin,13.376941,52.489986,45.38311
Katzbachstrasse,31,Berlin,13.376936,52.490154,45.28582
Katzbachstrasse,32,Berlin,13.376954,52.490307,45.17934
Katzbachstrasse,33,Berlin,13.376956,52.490448,45.096752
Katzbachstrasse,34,Berlin,13.37711,52.49057,45.01145
Katzbachstrasse,35,Berlin,13.376778,52.490513,45.09811
Katzbachstrasse,36,Berlin,13.376964,52.49083,43.63264
Katzbachstrasse,37,Berlin,13.377115,52.49094,43.03412
Katzbachstrasse,38,Berlin,13.376942,52.491005,42.497124
Katzbachstrasse,39,Berlin,13.376986,52.491196,41.322838
Katzbachstrasse,40,Berlin,13.376997,52.491295,40.711197
