#street,housenr,city,long,lat,elevation
Kottbusser Damm,1,Berlin,13.41804,52.4962,40.49502
Kottbusser Damm,2,Berlin,13.420573,52.49504,40.43081
Kottbusser Damm,3,Berlin,13.420632,52.494946,40.48178
Kottbusser Damm,4,Berlin,13.421281,52.49388,39.67401
Kottbusser Damm,5,Berlin,13.420886,52.494534,40.295284
Kottbusser Damm,6,Berlin,13.42102,52.494335,40.092846
Kottbusser Damm,7,Berlin,13.421116,52.494183,40.01622
Kottbusser Damm,8,Berlin,13.421221,52.494015,39.887535
Kottbusser Damm,9,Berlin,13.42094,52.49373,39.535316
Kottbusser Damm,10,Berlin,13.421434,52.49363,39.47352
Kottbusser Damm,11,Berlin,13.4213,52.49355,39.357018
Kottbusser Damm,12,Berlin,13.42139,52.49349,39.384304
Kottbusser Damm,13,Berlin,13.422008,52.49272,40.431835
Kottbusser Damm,14,Berlin,13.4221325,52.492485,40.794468
Kottbusser Damm,15,Berlin,13.422224,52.492348,41.06098
Kottbusser Damm,16,Berlin,13.422327,52.49217,41.36099
Kottbusser Damm,17,Berlin,13.422355,52.49219,41.442547
Kottbusser Damm,18,Berlin,13.42237,52.49195,41.443882
Kottbusser Damm,19,Berlin,13.42237,52.49195,41.443882
Kottbusser Damm,20,Berlin,13.42251,52.49167,41.45387
Kottbusser Damm,21,Berlin,13.42251,52.49167,41.45387
Kottbusser Damm,22,Berlin,13.42342,52.49024,41.87397
Kottbusser Damm,23,Berlin,13.42346,52.49012,41.847115
Kottbusser Damm,24,Berlin,13.423732,52.48988,42.544586
Kottbusser Damm,25,Berlin,13.423807,52.48979,42.90779
Kottbusser Damm,26,Berlin,13.42322,52.48964,41.831367
Kottbusser Damm,27,Berlin,13.424076,52.48967,43.74687
Kottbusser Damm,28,Berlin,13.423999,52.48952,43.758137
Kottbusser Damm,29,Berlin,13.42389,52.48931,43.85431
Kottbusser Damm,30,Berlin,13.42389,52.48931,43.85431
Kottbusser Damm,31,Berlin,13.424134,52.48921,44.235123
Kottbusser Damm,32,Berlin,13.424264,52.489025,43.866863
Kottbusser Damm,33,Berlin,13.424438,52.488796,43.122684
Kottbusser Damm,34,Berlin,13.424476,52.488747,42.91905
Kottbusser Damm,35,Berlin,13.424544,52.488537,42.06323
Kottbusser Damm,36,Berlin,13.424676,52.48841,41.787506
Kottbusser Damm,37,Berlin,13.424783,52.48833,41.670998
Kottbusser Damm,62,Berlin,13.42539,52.48796,41.169495
Kottbusser Damm,63,Berlin,13.425167,52.488342,41.688473
Kottbusser Damm,64,Berlin,13.425106,52.488556,42.0005
Kottbusser Damm,65,Berlin,13.425031,52.488663,42.56435
Kottbusser Damm,66,Berlin,13.424912,52.48892,43.826794
Kottbusser Damm,67,Berlin,13.424758,52.489037,44.25669
Kottbusser Damm,68,Berlin,13.4247465,52.489143,44.739594
Kottbusser Damm,69,Berlin,13.424622,52.489334,45.02587
Kottbusser Damm,70,Berlin,13.425269,52.489666,46.560253
Kottbusser Damm,71,Berlin,13.42492,52.48979,45.82104
Kottbusser Damm,72,Berlin,13.424335,52.4898,44.284065
Kottbusser Damm,73,Berlin,13.42452,52.49014,44.748566
Kottbusser Damm,74,Berlin,13.42411,52.49033,43.554356
Kottbusser Damm,75,Berlin,13.42393,52.49048,43.030067
Kottbusser Damm,76,Berlin,13.42411,52.49033,43.554356
Kottbusser Damm,77,Berlin,13.423599,52.491005,43.099728
Kottbusser Damm,78,Berlin,13.42344,52.49128,43.268665
Kottbusser Damm,79,Berlin,13.423326,52.49145,43.321133
Kottbusser Damm,80,Berlin,13.423215,52.491623,43.414253
Kottbusser Damm,81,Berlin,13.42324,52.49191,43.88592
Kottbusser Damm,82,Berlin,13.42324,52.49191,43.88592
Kottbusser Damm,83,Berlin,13.42281,52.49238,42.76783
Kottbusser Damm,84,Berlin,13.422544,52.492424,41.99305
Kottbusser Damm,85,Berlin,13.42281,52.49238,42.76783
Kottbusser Damm,86,Berlin,13.422567,52.492645,42.06004
Kottbusser Damm,87,Berlin,13.42294,52.49275,43.14648
Kottbusser Damm,88,Berlin,13.422457,52.49281,41.739643
Kottbusser Damm,89,Berlin,13.4224,52.49281,41.573616
Kottbusser Damm,90,Berlin,13.422184,52.49305,40.944473
Kottbusser Damm,91,Berlin,13.422128,52.493347,40.78136
Kottbusser Damm,92,Berlin,13.421991,52.49354,40.074272
Kottbusser Damm,93,Berlin,13.42207,52.49369,39.989277
Kottbusser Damm,94,Berlin,13.421841,52.493797,39.374363
Kottbusser Damm,95,Berlin,13.421721,52.494,39.244644
Kottbusser Damm,96,Berlin,13.421416,52.494087,39.646244
Kottbusser Damm,97,Berlin,13.421468,52.49444,39.570515
Kottbusser Damm,98,Berlin,13.42151,52.49456,39.509346
Kottbusser Damm,99,Berlin,13.421326,52.494675,39.777317
Kottbusser Damm,100,Berlin,13.4212,52.49486,39.78691
Kottbusser Damm,101,Berlin,13.421174,52.49491,39.7452
Kottbusser Damm,102,Berlin,13.421024,52.495136,39.634182
Kottbusser Damm,103,Berlin,13.420858,52.495396,39.497284
Kottbusser Damm,104,Berlin,13.42101,52.49555,39.335106
Kottbusser Damm,105,Berlin,0.0,0.0,-1000.0
