#street,housenr,city,long,lat,elevation
Kreuzbergstrasse,1,Berlin,13.377027,52.489304,46.202923
Kreuzbergstrasse,2,Berlin,13.385414,52.49018,45.0
Kreuzbergstrasse,3,Berlin,13.38529,52.4901,45.0
Kreuzbergstrasse,4,Berlin,13.38513,52.49027,45.0
Kreuzbergstrasse,5,Berlin,13.38496,52.49026,45.0
Kreuzbergstrasse,6,Berlin,13.38468,52.49029,44.783356
Kreuzbergstrasse,7,Berlin,13.3844,52.4903,44.190144
Kreuzbergstrasse,8,Berlin,13.38427,52.49021,43.81621
Kreuzbergstrasse,9,Berlin,13.3841505,52.49012,43.41898
Kreuzbergstrasse,10,Berlin,13.37692,52.48922,46.513935
Kreuzbergstrasse,11,Berlin,13.383539,52.490112,42.07952
Kreuzbergstrasse,12,Berlin,13.383539,52.490112,42.07952
Kreuzbergstrasse,13,Berlin,13.383164,52.490047,41.392956
Kreuzbergstrasse,14,Berlin,13.382956,52.490032,41.252216
Kreuzbergstrasse,15,Berlin,13.382682,52.490013,41.0584
Kreuzbergstrasse,22,Berlin,13.380516,52.489857,43.37707
Kreuzbergstrasse,23,Berlin,13.380325,52.489834,43.630947
Kreuzbergstrasse,24,Berlin,13.3801155,52.489815,43.862827
Kreuzbergstrasse,25,Berlin,13.379769,52.489788,44.061504
Kreuzbergstrasse,26,Berlin,13.378629,52.489723,44.3003
Kreuzbergstrasse,27,Berlin,13.378312,52.48966,44.647995
Kreuzbergstrasse,28,Berlin,13.378192,52.4897,44.73069
Kreuzbergstrasse,29,Berlin,13.37784,52.48997,44.94702
Kreuzbergstrasse,30,Berlin,13.37763,52.48971,45.132236
Kreuzbergstrasse,31,Berlin,13.377447,52.48965,45.2768
Kreuzbergstrasse,32,Berlin,13.37708,52.48975,45.476204
Kreuzbergstrasse,33,Berlin,13.37677,52.48967,46.04418
Kreuzbergstrasse,34,Berlin,13.376376,52.489582,45.90847
Kreuzbergstrasse,35,Berlin,13.37606,52.48957,44.819958
Kreuzbergstrasse,36,Berlin,13.375786,52.489517,44.22175
Kreuzbergstrasse,37,Berlin,13.37572,52.48997,41.352974
Kreuzbergstrasse,38,Berlin,13.37572,52.48997,41.352974
Kreuzbergstrasse,39,Berlin,13.37504,52.49013,38.70756
Kreuzbergstrasse,40,Berlin,13.37516,52.48983,39.863514
Kreuzbergstrasse,42,Berlin,13.374163,52.488262,45.804054
Kreuzbergstrasse,43,Berlin,13.3752,52.48842,49.593792
Kreuzbergstrasse,44,Berlin,13.374535,52.48873,46.142544
Kreuzbergstrasse,45,Berlin,13.3747835,52.48885,46.1673
Kreuzbergstrasse,46,Berlin,13.374863,52.489002,45.513397
Kreuzbergstrasse,47,Berlin,13.375418,52.48921,45.53668
Kreuzbergstrasse,48,Berlin,13.375609,52.489162,46.03636
Kreuzbergstrasse,49,Berlin,13.376006,52.48927,46.087223
Kreuzbergstrasse,50,Berlin,13.376512,52.489353,46.776237
Kreuzbergstrasse,62,Berlin,13.380325,52.48955,44.05336
Kreuzbergstrasse,71,Berlin,13.383271,52.489815,41.498943
Kreuzbergstrasse,72,Berlin,13.383689,52.48984,42.102898
Kreuzbergstrasse,73,Berlin,13.38386,52.4897,42.879265
Kreuzbergstrasse,74,Berlin,13.38417,52.48972,43.491726
Kreuzbergstrasse,75,Berlin,13.38449,52.48976,44.25713
Kreuzbergstrasse,76,Berlin,13.384814,52.489838,45.006405
Kreuzbergstrasse,77,Berlin,13.38504,52.48976,45.092987
Kreuzbergstrasse,78,Berlin,13.385425,52.489876,45.072678
